frame.number,frame.time,eth.src,eth.dst,_ws.col.protocol,goose.float_value
"1","2026-01-24T01:02:04.493945331+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2","2026-01-24T01:02:04.493950946+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"3","2026-01-24T01:02:04.544117719+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"4","2026-01-24T01:02:04.544536904+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"5","2026-01-24T01:02:04.594344774+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"6","2026-01-24T01:02:04.594871828+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"7","2026-01-24T01:02:04.607636859+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.00434875"
"8","2026-01-24T01:02:04.644441486+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"9","2026-01-24T01:02:04.645492104+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"10","2026-01-24T01:02:04.694795110+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"11","2026-01-24T01:02:04.695689345+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"12","2026-01-24T01:02:04.745086307+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"13","2026-01-24T01:02:04.746205623+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"14","2026-01-24T01:02:04.795424511+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"15","2026-01-24T01:02:04.796399759+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"16","2026-01-24T01:02:04.845696201+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"17","2026-01-24T01:02:04.846549469+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"18","2026-01-24T01:02:04.895887962+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"19","2026-01-24T01:02:04.896904867+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"20","2026-01-24T01:02:04.946579026+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"21","2026-01-24T01:02:04.947116884+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"22","2026-01-24T01:02:04.996805712+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"23","2026-01-24T01:02:04.997315817+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"24","2026-01-24T01:02:05.047059328+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"25","2026-01-24T01:02:05.047444339+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"26","2026-01-24T01:02:05.075984764+0100","00:30:a7:00:00:04","01:0c:cd:01:00:06","GOOSE","5.00760984"
"27","2026-01-24T01:02:05.097462564+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"28","2026-01-24T01:02:05.097680773+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"29","2026-01-24T01:02:05.147994221+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"30","2026-01-24T01:02:05.148017966+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"31","2026-01-24T01:02:05.198241862+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"32","2026-01-24T01:02:05.198248198+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"33","2026-01-24T01:02:05.248668687+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"34","2026-01-24T01:02:05.248668707+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"35","2026-01-24T01:02:05.299094976+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"36","2026-01-24T01:02:05.299112962+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"37","2026-01-24T01:02:05.349361015+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"38","2026-01-24T01:02:05.349367268+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"39","2026-01-24T01:02:05.399791814+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"40","2026-01-24T01:02:05.399803515+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"41","2026-01-24T01:02:05.450450179+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"42","2026-01-24T01:02:05.450474354+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"43","2026-01-24T01:02:05.500614156+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"44","2026-01-24T01:02:05.500622017+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"45","2026-01-24T01:02:05.550841242+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"46","2026-01-24T01:02:05.550973312+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"47","2026-01-24T01:02:05.601356408+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"48","2026-01-24T01:02:05.601360131+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"49","2026-01-24T01:02:05.619778374+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.00760984"
"50","2026-01-24T01:02:05.651737358+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"51","2026-01-24T01:02:05.651751229+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"52","2026-01-24T01:02:05.702306926+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"53","2026-01-24T01:02:05.702328781+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"54","2026-01-24T01:02:05.752780965+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"55","2026-01-24T01:02:05.752793333+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"56","2026-01-24T01:02:05.803056085+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"57","2026-01-24T01:02:05.803123584+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"58","2026-01-24T01:02:05.853269356+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"59","2026-01-24T01:02:05.853774563+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"60","2026-01-24T01:02:05.903546737+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"61","2026-01-24T01:02:05.903970671+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"62","2026-01-24T01:02:05.954067754+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"63","2026-01-24T01:02:05.954271732+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"64","2026-01-24T01:02:06.004731659+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"65","2026-01-24T01:02:06.004767696+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"66","2026-01-24T01:02:06.054927877+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"67","2026-01-24T01:02:06.055008490+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"68","2026-01-24T01:02:06.088074510+0100","00:30:a7:00:00:04","01:0c:cd:01:00:06","GOOSE","5.00629425"
"69","2026-01-24T01:02:06.105284616+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"70","2026-01-24T01:02:06.105291605+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"71","2026-01-24T01:02:06.155426012+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"72","2026-01-24T01:02:06.155901673+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"73","2026-01-24T01:02:06.205828241+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"74","2026-01-24T01:02:06.206519801+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"75","2026-01-24T01:02:06.256223837+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"76","2026-01-24T01:02:06.256779948+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"77","2026-01-24T01:02:06.306598214+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"78","2026-01-24T01:02:06.307126358+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"79","2026-01-24T01:02:06.357171573+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"80","2026-01-24T01:02:06.357723086+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"81","2026-01-24T01:02:06.407651974+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"82","2026-01-24T01:02:06.408187337+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
